Node,Description
1,"Equisetales has been recovered sister to all other ferns in nuclear [@rothfels2015evolutionary; @qi2018wellresolved; @shen2018largescale; @sessa2024new], mitochondrial [@cardenas2023third], and plastid analyses with moderate numbers of genes [@testo20164000species; @schneider2004ferns], but sister to Ophioglossales in some plastome phylogenomic analyses [@nitta2022open; @lehtonen2019dynamism] and analysis of plastome structure [@grewe2013complete]."
2,"Marattiales has been recovered sister to leptosporangiate ferns in plastid [@nitta2022open; @testo20164000species; @du2022structural] and some nuclear [@rothfels2015evolutionary] datasets, but sister to Ophioglossales in some nuclear [@shen2018largescale; @sessa2024new] or mitochondrial datasets [@cardenas2023third]."
3,"Hymenophyllaceae has been recovered sister to Gleicheniaceae in some nuclear [@qi2018wellresolved; @shen2018largescale; @sessa2024new] or mitochondrial datasets [@cardenas2023third], but sister to leptosporangiate ferns excluding Osmundales in plastid [@nitta2022open; @du2022structural] and some nuclear [@rothfels2015evolutionary] datasets."
4,"The lineage most closely related to eupolypods is Dennstaedtiaceae in most recent analyses [@rothfels2015evolutionary; @nitta2022open; @sessa2024new; @pelosi2022phylotranscriptomics], but is Pteridaceae in an analysis of mitochondrial data [@cardenas2023third] and an analysis with a moderate number of plastid markers [@testo20164000species], and is a clade comprising Dennstaedtiaceae plus Pteridaceae in a whole-plastome analysis [@du2022structural]."
